scrape_timestamp,observation_time,temperature,dew_point,humidity,wind,pressure,precip_amount,condition,location,date,water_temp_0_35m,water_temp_2m,water_temp_7m,water_temp_entry_id
2025-11-15T11:20:59.314149+00:00,12:20 AM,55 °F,54 °F,94 %,5 mph SW,29.63 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,12:50 AM,55 °F,54 °F,94 %,3 mph SSW,29.63 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,1:20 AM,55 °F,54 °F,94 %,3 mph S,29.66 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,1:50 AM,55 °F,54 °F,94 %,2 mph VAR,29.66 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,2:20 AM,55 °F,54 °F,94 %,3 mph ENE,29.66 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,2:50 AM,54 °F,52 °F,94 %,3 mph E,29.66 in,0.0 in,Fair,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,3:20 AM,54 °F,52 °F,94 %,1 mph VAR,29.66 in,0.0 in,Partly Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,3:50 AM,54 °F,52 °F,94 %,3 mph E,29.66 in,0.0 in,Mostly Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,4:20 AM,54 °F,54 °F,100 %,2 mph VAR,29.69 in,0.0 in,Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,4:50 AM,54 °F,52 °F,94 %,2 mph VAR,29.69 in,0.0 in,Mostly Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,5:20 AM,54 °F,52 °F,94 %,1 mph VAR,29.69 in,0.0 in,Mostly Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,5:50 AM,54 °F,52 °F,94 %,3 mph NE,29.72 in,0.0 in,Mostly Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,6:20 AM,54 °F,52 °F,94 %,3 mph ENE,29.72 in,0.0 in,Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,6:50 AM,54 °F,52 °F,94 %,3 mph ENE,29.72 in,0.0 in,Mist,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,7:20 AM,54 °F,52 °F,94 %,1 mph VAR,29.75 in,0.0 in,Mist,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,7:50 AM,54 °F,52 °F,94 %,2 mph VAR,29.75 in,0.0 in,Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
2025-11-15T11:20:59.314149+00:00,8:20 AM,54 °F,54 °F,100 %,3 mph E,29.75 in,0.0 in,Cloudy,EGLC,2025-11-15,12.43750,12.50000,12.25000,564201
